,0
0,Andaman and Nicobar Islands
1,Andhra Pradesh
2,Arunachal Pradesh
3,Assam
4,Bihar
5,Chandigarh
6,Chhattisgarh
7,Dadra Nagar Haveli and Daman Diu
8,Goa
9,Haryana
10,Himachal Pradesh
11,Jammu and Kashmir
12,Jharkhand
13,Karnataka
14,Lakshadweep
15,Ladakh
16,Madhya Pradesh
17,Maharashtra
18,Manipur
19,Meghalaya
20,Mizoram
21,Nagaland
22,Odisha
23,Puducherry
24,Punjab
25,Sikkim
26,Tamil Nadu
27,Telangana
28,Uttar Pradesh
29,Uttarakhand
30,West Bengal
